id,name,category,price,stock
1,Professional Laptop,Electronics,1299.99,15
2,USB-C Mouse,Accessories,34.99,200
3,Mechanical Keyboard,Accessories,79.99,85
4,4K Monitor,Electronics,599.99,12
5,Desk Lamp,Lighting,49.99,45
6,Laptop Stand,Furniture,29.99,120
7,USB Hub,Accessories,24.99,300
8,Webcam 1080p,Electronics,89.99,40
9,Wireless Earbuds,Electronics,119.99,150
10,Phone Charger,Accessories,19.99,500
11,Desk Mat,Furniture,39.99,90
12,Monitor Arm,Furniture,59.99,50
13,Portable Speaker,Electronics,99.99,75
14,Cable Organizer,Accessories,9.99,400
15,Anti-Glare Screen Protector,Accessories,14.99,250
16,External SSD 1TB,Electronics,99.99,80
17,Laptop Cooling Pad,Accessories,35.99,110
18,Mini Projector,Electronics,249.99,20
19,Desk Fan,Furniture,29.99,60
20,HDMI Cable 2m,Accessories,7.99,600
