date,product,quantity,price,region
2024-01-01,Laptop,1,25,North
2024-01-02,Mouse,2,26,South
2024-01-03,Keyboard,3,27,East
2024-01-04,Monitor,4,28,West
2024-01-05,Headphones,5,29,North
2024-01-06,Laptop,6,30,South
2024-01-07,Mouse,7,31,East
2024-01-08,Keyboard,8,32,West
2024-01-09,Monitor,9,33,North
2024-01-10,Headphones,10,34,South
2024-01-11,Laptop,11,35,East
2024-01-12,Mouse,12,36,West
2024-01-13,Keyboard,13,37,North
2024-01-14,Monitor,14,38,South
2024-01-15,Headphones,15,39,East
2024-01-16,Laptop,16,40,West
2024-01-17,Mouse,17,41,North
2024-01-18,Keyboard,18,42,South
2024-01-19,Monitor,19,43,East
2024-01-20,Headphones,20,44,West
2024-01-21,Laptop,21,45,North
2024-01-22,Mouse,22,46,South
2024-01-23,Keyboard,23,47,East
2024-01-24,Monitor,24,48,West
2024-01-25,Headphones,25,49,North
2024-01-26,Laptop,26,50,South
2024-01-27,Mouse,27,51,East
2024-01-28,Keyboard,28,52,West
2024-01-01,Monitor,29,53,North
2024-01-02,Headphones,30,54,South
2024-01-03,Laptop,31,55,East
2024-01-04,Mouse,32,56,West
2024-01-05,Keyboard,33,57,North
2024-01-06,Monitor,34,58,South
2024-01-07,Headphones,35,59,East
2024-01-08,Laptop,36,60,West
2024-01-09,Mouse,37,61,North
2024-01-10,Keyboard,38,62,South
2024-01-11,Monitor,39,63,East
2024-01-12,Headphones,40,64,West
2024-01-13,Laptop,41,65,North
2024-01-14,Mouse,42,66,South
2024-01-15,Keyboard,43,67,East
2024-01-16,Monitor,44,68,West
2024-01-17,Headphones,45,69,North
2024-01-18,Laptop,46,70,South
2024-01-19,Mouse,47,71,East
2024-01-20,Keyboard,48,72,West
2024-01-21,Monitor,49,73,North
2024-01-22,Headphones,50,74,South
2024-01-23,Laptop,51,75,East
2024-01-24,Mouse,52,76,West
2024-01-25,Keyboard,53,77,North
2024-01-26,Monitor,54,78,South
2024-01-27,Headphones,55,79,East
2024-01-28,Laptop,56,80,West
2024-01-01,Mouse,57,81,North
2024-01-02,Keyboard,58,82,South
2024-01-03,Monitor,59,83,East
2024-01-04,Headphones,60,84,West
2024-01-05,Laptop,61,85,North
2024-01-06,Mouse,62,86,South
2024-01-07,Keyboard,63,87,East
2024-01-08,Monitor,64,88,West
2024-01-09,Headphones,65,89,North
2024-01-10,Laptop,66,90,South
2024-01-11,Mouse,67,91,East
2024-01-12,Keyboard,68,92,West
2024-01-13,Monitor,69,93,North
2024-01-14,Headphones,70,94,South
2024-01-15,Laptop,71,95,East
2024-01-16,Mouse,72,96,West
2024-01-17,Keyboard,73,97,North
2024-01-18,Monitor,74,98,South
2024-01-19,Headphones,75,99,East
2024-01-20,Laptop,76,100,West
2024-01-21,Mouse,77,101,North
2024-01-22,Keyboard,78,102,South
2024-01-23,Monitor,79,103,East
2024-01-24,Headphones,80,104,West
2024-01-25,Laptop,81,105,North
2024-01-26,Mouse,82,106,South
2024-01-27,Keyboard,83,107,East
